Title,Sentence,clean_sentence
Crypto market volatility triggers $2.5 billion in bitcoin liquidations,"""The biggest risk to prices at these levels have been outside forces — whether including a sharp rise in unemployment or deterioration of the AI trade,"" said Jim Ferraioli, director of crypto research and strategy at Charles Schwab's Schwab Center for Financial Research.",biggest risk price level outside force whether including sharp rise unemployment deterioration trade said jim ferraioli director crypto research strategy charles schwab schwab center financial research
Crypto market volatility triggers $2.5 billion in bitcoin liquidations,"Markets encountered a barrage of news last week that weighed heavily on investor sentiment, including disappointing Microsoft earnings that raised concerns about AI spending.",market encountered barrage news last week weighed heavily investor sentiment including disappointing microsoft earnings raised concern spending
Crypto market volatility triggers $2.5 billion in bitcoin liquidations,"Microsoft on Wednesday reported revenue growth in its Azure cloud-computing business that was only slightly above expectations, sending shares down 10% the following day.",microsoft wednesday reported revenue growth azure cloud computing business slightly expectation sending share following day
Crypto market volatility triggers $2.5 billion in bitcoin liquidations,"Markets also expect Warsh to lead a shift toward rate cuts alongside tighter balance‑sheet policy, which is seen as leaning more hawkish.",market also expect warsh lead shift toward rate cut alongside tighter balance sheet policy seen leaning hawkish
Crypto market volatility triggers $2.5 billion in bitcoin liquidations,"That announcement sparked a sharp sell-off in gold and silver prices on Friday, with silver recording its worst day ever and gold notching its steepest daily fall since 1983.",announcement sparked sharp sell gold silver price friday silver recording worst day ever gold notching steepest daily fall since 1983
Crypto market volatility triggers $2.5 billion in bitcoin liquidations,"""Investors were looking for an excuse to lighten up and they finally got several,"" said David Morrison, senior market analyst at Trade Nation.",investor looking excuse lighten finally got several said david morrison senior market analyst trade nation
Crypto market volatility triggers $2.5 billion in bitcoin liquidations,Hannah previously worked at American Banker where she covered bank regulation and the Federal Reserve.,hannah previously worked american banker covered bank regulation federal reserve
Crypto market volatility triggers $2.5 billion in bitcoin liquidations,"She graduated from the University of Maryland, College Park and lives in Washington, DC.",graduated university maryland college park life washington
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"Feb 2 (Reuters) - A Chinese-linked cyberespionage group with a long history hijacked the update process for the popular code editing platform Notepad++ to deliver a custom backdoor and other malware to targeted users, the program's developer and cybersecurity researchers said on Monday.",feb reuters chinese linked cyberespionage group long history hijacked update process popular code editing platform notepad deliver custom backdoor malware targeted user program developer cybersecurity researcher said monday
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"Don Ho, the French-based developer of Notepad++, said in a blog posted to the project’s website on Monday that “malicious actors” had targeted the update process for “certain targeted users” beginning in June 2025.",french based developer notepad said blog posted project website monday malicious actor targeted update process certain targeted user beginning june 2025
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"The hackers had access to the hosting server used for Notepad++ updates until September 2, 2025, but maintained credentials to some hosting services until December 2, 2025, according to Ho.",hacker access hosting server used notepad update september 2025 maintained credential hosting service december 2025 according
Popular open-source coding application targeted in Chinese-linked supply-chain attack,Learn about the latest breakthroughs in AI and tech with the Reuters Artificial Intelligencer newsletter.,learn latest breakthrough tech reuters artificial intelligencer newsletter
Popular open-source coding application targeted in Chinese-linked supply-chain attack,Ho said in an email that he did not have visibility into how many malicious updates were downloaded.,said email visibility many malicious update downloaded
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"""What I do know from the investigation is that the attack was highly selective - not all users during the compromise window received malicious updates, indicating deliberate targeting rather than widespread distribution,"" Ho said.",know investigation attack highly selective user compromise window received malicious update indicating deliberate targeting rather widespread distribution said
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"A spokesperson for the Cybersecurity and Infrastructure Security Agency said the agency ""is aware of the reported compromise and is investigating possible exposure across the United States Government (USG).""",spokesperson cybersecurity infrastructure security agency said agency aware reported compromise investigating possible exposure across united state government usg
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"Ho’s blog included a message from his hosting provider concluding that the server used to deliver updates to customers “could have been compromised,” and that the hackers specifically targeted the domain associated with Notepad++.",blog included message hosting provider concluding server used deliver update customer could compromised hacker specifically targeted domain associated notepad
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"Internet registration records show that the domain was hosted by Lithuanian hosting provider Hostinger until January 21, a fact Ho confirmed in the email.",internet registration record show domain hosted lithuanian hosting provider hostinger january fact confirmed email
Popular open-source coding application targeted in Chinese-linked supply-chain attack,Cybersecurity firm Rapid7 attributed the hacking campaign to a Chinese-linked cyberespionage group tracked as Lotus Blossom in a blog post posted on Monday.,cybersecurity firm rapid7 attributed hacking campaign chinese linked cyberespionage group tracked lotus blossom blog post posted monday
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"Active since 2009, the group has historically targeted government, telecom, aviation, critical infrastructure and media sectors across Southeast Asia and, more recently, Central America, according to Rapid7.",active since 2009 group historically targeted government telecom aviation critical infrastructure medium sector across southeast asia recently central america according rapid7
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"A spokesperson for the Chinese Embassy in Washington said ""China opposes and fights all forms of hacking in accordance with the law.",spokesperson chinese embassy washington said china opposes fight form hacking accordance law
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"We reject the relevant parties' irresponsible assertion that the Chinese government sponsored hacking activity when it had not presented any factual evidence.""",reject relevant party irresponsible assertion chinese government sponsored hacking activity presented factual evidence
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"The hacking group used its access to deliver a custom backdoor that could give it interactive control of infected computers, which could then be used as a foothold to steal data and target other computers, according to the analysis.",hacking group used access deliver custom backdoor could give interactive control infected computer could used foothold steal data target computer according analysis
Popular open-source coding application targeted in Chinese-linked supply-chain attack,"Kevin Beaumont, a cybersecurity researcher, said in a December 2, 2025, blog post that he was aware of three organizations “with interests in East Asia,” which had security incidents potentially tied to Notepad++.",kevin beaumont cybersecurity researcher said december 2025 blog post aware three organization interest east asia security incident potentially tied notepad
DHS chief says body cameras are being deployed to every field officer in Minneapolis,Homeland Security Secretary Kristi Noem said on Monday her department was deploying body cameras to every officer in the field in Minneapolis effective immediately and would roll out the body camera program nationwide as funding becomes available.,homeland security secretary kristi noem said monday department deploying body camera every officer field minneapolis effective immediately would roll body camera program nationwide funding becomes available
DHS chief says body cameras are being deployed to every field officer in Minneapolis,"""Effective immediately we are deploying body cameras to every officer in the field in Minneapolis.",effective immediately deploying body camera every officer field minneapolis
DHS chief says body cameras are being deployed to every field officer in Minneapolis,"As funding is available, the body camera program will be expanded nationwide,"" Noem said on X.",funding available body camera program expanded nationwide noem said
DHS chief says body cameras are being deployed to every field officer in Minneapolis,"The immigration enforcement policies of President Donald Trump's administration have come under scrutiny after the killing of two U.S. citizens in Minnesota last month by agents of the federal Immigration and Customs Enforcement agency, which is part of the Department of Homeland Security.",immigration enforcement policy president donald trump administration come scrutiny killing two citizen minnesota last month agent federal immigration custom enforcement agency part department homeland security
DHS chief says body cameras are being deployed to every field officer in Minneapolis,Human rights advocates have widely condemned Trump's immigration policies as lacking due process and making the environment hostile for immigrant communities.,human right advocate widely condemned trump immigration policy lacking due process making environment hostile immigrant community
DHS chief says body cameras are being deployed to every field officer in Minneapolis,Trump has cast his actions as being aimed at improving domestic security.,trump cast action aimed improving domestic security
DHS chief says body cameras are being deployed to every field officer in Minneapolis,"Trump also commented on Noem's announcement on Monday, telling reporters that body cameras ""generally tend to be good for law enforcement, because people can't lie about what's happening.""",trump also commented noem announcement monday telling reporter body camera generally tend good law enforcement people lie happening
DHS chief says body cameras are being deployed to every field officer in Minneapolis,"""So it's, generally speaking, I think 80%, good for law enforcement.",generally speaking think good law enforcement
DHS chief says body cameras are being deployed to every field officer in Minneapolis,"But if she wants to do that, I'm okay with it,"" Trump said, while adding the decision was made by Noem and not by him.",want okay trump said adding decision made noem
DHS chief says body cameras are being deployed to every field officer in Minneapolis,"Noem's announcement came after a call she had with U.S. Customs and Border Protection Commissioner Rodney Scott, Trump border czar Tom Homan, who has been tasked to take over operations in Minnesota, and acting ICE director Todd Lyons.",noem announcement came call custom border protection commissioner rodney scott trump border czar tom homan tasked take operation minnesota acting ice director todd lyon
DHS chief says body cameras are being deployed to every field officer in Minneapolis,"Noem said the Trump administration will ""rapidly acquire and deploy body cameras to DHS law enforcement across the country.""",noem said trump administration rapidly acquire deploy body camera dhs law enforcement across country
